,Модель: iPhone 11                                    Версия: iOS 16.1.1,"Приложение: ""Supermarket Mania Journey""",,,,,,,,,,,,,,
Кейсы,,,,,,,,Баги,,,,,,,,
№ кейса,Название кейса,Предусловие,Шаги,Ожидаемый результат,Фактический результат,Статус,,Номер,Название,Шаги,Ожидаемый результат,Фактический результат,Скриншот,,Вопросы/Предложения,
Действия с приложением,,,,,,,,1,"На карте при тапе на ""Сердечко"" отсутствует подсказка","1. Открыть карту
2. Тапнуть ""Сердечко""",Появляется подсказка,Подсказка отсутствует,https://drive.google.com/file/d/1mGElIqoTa-Nuk7oby2GNlw8kwmUYw4Yv/view?usp=share_link, ,"1. На Карте, при тапе на кнопку ""Стрелка вниз"" (возле ""TINSEL TOWN"") появляется подменю с иконками, но скрыть его можно только нажатием снова на эту кнопку. Было бы здорово, если бы его можно было бы скрыть тапом в свободной области", 
1,Наличие приложения в App Store,"Телефон включен, есть подключение к интернету","1. Войти в ""App Store""
2. Перейти на вкладку ""Search""
3. Ввести в поисковой строке ""Supermarket Mania Journey""
4. Нажать ""Search""","Приложение ""Supermarket Mania Journey"" найдено",-,TRUE,,2,"На первом уровне (""Продуктовый день 1"")  подсказка ""Следите за значком настроения ..."" не полностью расписана","1. Открыть уровень 1 (""Продуктовый день 1"")
2. Проходить уровень до появления подсказки ""Следите за значком настроения ..."""," Текст:
""Следите за значком настроения покупателя:
ЗЕЛЕНЫЙ - покупатель доволен, 
ЖЕЛТЫЙ - покупатель чем-то недоволен, 
КРАСНЫЙ - он уходит!"""," Текст:
""Следите за значком настроения покупателя:
ЗЕЛЕНЫЙ, ЖЕЛТЫЙ, КРАСНЫЙ - он уходит!""",https://drive.google.com/file/d/1WkzgXwa0knFKSe45ONutILrQluxF5xqq/view?usp=share_link, ,2. Нельзя никак закрыть обучающий режим и выйти в режим карты до полного прохождения первого уровня, 
2,Установка приложения из App Store,"Телефон включен, есть подключение к интернету","1. Повторить шаги кейса №1 
2. Рядом с названием игры нажать кнопку ""Get""","Приложение ""Supermarket Mania Journey"" устанавливается ",-,TRUE,,3,"На первом уровне (""Продуктовый день 1"")  при тапе на ""Человечка с корзиной"" (в правом верхнем углу) появляется всплывающая подсказка, которая перекрывает кол-во покупателей","1. Открыть уровень 1 (""Продуктовый день 1"")
2. Тапнуть на шкалу ""Количество покупателей"" (Человечек с корзиной)",Подсказка появляется чуть ниже и не перекрывает поле,Подсказка перекрывает поле (Не видно количество),https://drive.google.com/file/d/1tUEHgweg7mBr3V_iBRte9zdpGqlLPzkA/view?usp=sharing, ,3. Всплывающая подсказка недоступных уровней (сначала пройдите прошлый), 
3,Удаление приложения с телефона,Телефон включен,"1. Найти приложение ""Supermarket Mania Journey"" на рабочем столе телефона
2. Нажать и удерживать иконку приложения
3. В раскрывшемся окне нажать ""Удалить приложение"" ","Приложение ""Supermarket Mania Journey"" удалено с телефона",-,TRUE,,4,"На первом уровне (""Продуктовый день 1"") у подсказки ""На подходе другие покупатели..."" неработающий значек след. сообщения ","1. Открыть уровень 1 (""Продуктовый день 1"")
2. Проходить уровень до появления подсказки ""На подходе другие покупатели...."" 
3. Тапнуть на значек 2-ух стрелочек (>>) ",Открывается следующая страница сообщения,"Сообщение закрывается (либо следующего сообщения нет, либо я несколько раз не смог попасть)",https://drive.google.com/file/d/1bSycdVvt7DRMNZgFkkXOZ7_QxS7QI2Mv/view?usp=sharing, ,"4. При появлении подсказок на 1 уровне нельзя нажать ни на кнопку ""Пауза"", ни выйти ", 
4,"Приложение ""Переворачивается"" при повороте телефона на 180*",Приложение установлено на телефон,"1. Запустить приложение ""Supermarket Mania Journey"" 
2. Повернуть телефон на 180*","Приложение ""Supermarket Mania Journey"" ""Переворачивается"" в нужную сторону",-,TRUE,,5,"В комиксе, в диалоге ""Здорово. Можете на меня рассчитывать."" (2 слайд)  точка ушла вниз","1. Запустить приложение первый раз
2. Пролистать на 2-ой слайд комикса
3. Обратить внимание на правй нижний диалог
","Точка в конце предложения находится сразу после последнего слова (""Рассчитывать."")","Точка в конце предложения ушла на следующую строку 
(""Рассчитывать
             ."")",https://drive.google.com/file/d/1wdFSmr1NdbQHQd0wmbuEHVdZEWKvoceN/view?usp=share_link, ,, 
5,Приложение не поддерживает вертикальное расположение игры,Приложение установлено на телефон,"1. Запустить приложение ""Supermarket Mania Journey"" 
2. Повернуть телефон в вертикальное приложение","Приложение ""Supermarket Mania Journey"" остается в горизонтальном положение или поворачивается на 180*",-,TRUE,,6,"В разделе ""Профиль"" в графе ""Дата рождения"" орфографическая ошибка","1. На карте тапнуть кнопку ""Профиль""
2. В разделе ""Мои данные"" обратить внимание на графу ""Дата рождения""","Текст плейсхолдера :""Не указана"" (дата > неуказана)","Текст плейсхолдера :""Не указано""",https://drive.google.com/file/d/1Rl2WbaKl1ANgW5fbZLhhEmIJuN27eWMR/view?usp=sharing, ,, 
6,"Приложение ""Cворачивается""",Приложение установлено на телефон,"1. Запустить приложение ""Supermarket Mania Journey"" 
2. Cвернуть приложение","Приложение ""Supermarket Mania Journey"" сворачивается, отображается рабочий стол телефона",-,TRUE,,7,"В разделе ""Профиль"" в графе ""Лучшие"" подкорректировать текст сообщения","1. На карте тапнуть кнопку ""Профиль""
2. В разделе ""Лучшие"" > всплывающее окно ""Запрос на доступ"" обратить внимание на текст","Текст :""Чтобы мы могли определить вашу страну, город и включить вас в правильный рейтинг ...""","Текст :""Чтобы мы могли определить вашу страну и город и включить вас в правильный рейтинг ...""",https://drive.google.com/file/d/1Rl2WbaKl1ANgW5fbZLhhEmIJuN27eWMR/view?usp=sharing, ,, 
